源目录,日期,经文,分类,讲员,发布标题,正文来源
20260709_马太福音5:13-16_盐和光_Patrick,2026-07-09,马太福音 5:13-16,教会讲道,Patrick,马太福音 5:13-16｜盐和光,20260709_马太福音5:13-16_盐和光_Patrick_中文.txt
20260709_马太福音5:17-20_耶稣成全律法_Patrick,2026-07-09,马太福音 5:17-20,教会讲道,Patrick,马太福音 5:17-20｜耶稣成全律法,20260709_马太福音5:17-20_耶稣成全律法_Patrick_中文.txt
20260709_马太福音5:21-26_怒气与和好_Patrick,2026-07-09,马太福音 5:21-26,教会讲道,Patrick,马太福音 5:21-26｜怒气与和好,20260709_马太福音5:21-26_怒气与和好_Patrick_中文.txt
20260709_马太福音5:27-30_情欲_Patrick,2026-07-09,马太福音 5:27-30,教会讲道,Patrick,马太福音 5:27-30｜情欲,20260709_马太福音5:27-30_情欲_Patrick_中文.txt
20260709_马太福音5:3-6_八福中的哀恸温柔与饥渴慕义_Patrick,2026-07-09,马太福音 5:3-6,教会讲道,Patrick,马太福音 5:3-6｜八福中的哀恸温柔与饥渴慕义,20260709_马太福音5:3-6_八福中的哀恸温柔与饥渴慕义_Patrick_中文.txt
20260709_马太福音5:31-37_持守承诺_Patrick,2026-07-09,马太福音 5:31-37,教会讲道,Patrick,马太福音 5:31-37｜持守承诺,20260709_马太福音5:31-37_持守承诺_Patrick_中文.txt
20260709_马太福音5:38-42_不报复_Patrick,2026-07-09,马太福音 5:38-42,教会讲道,Patrick,马太福音 5:38-42｜不报复,20260709_马太福音5:38-42_不报复_Patrick_中文.txt
20260709_马太福音5:43-48_爱你的仇敌_Patrick,2026-07-09,马太福音 5:43-48,教会讲道,Patrick,马太福音 5:43-48｜爱你的仇敌,20260709_马太福音5:43-48_爱你的仇敌_Patrick_中文.txt
20260709_马太福音5:7-9_八福中的怜恤清心与使人和睦_Patrick,2026-07-09,马太福音 5:7-9,教会讲道,Patrick,马太福音 5:7-9｜八福中的怜恤清心与使人和睦,20260709_马太福音5:7-9_八福中的怜恤清心与使人和睦_Patrick_中文.txt
20260709_路加福音2:1-7_不受欢迎的君王_Patrick,2026-07-10,路加福音 2:1-7,教会讲道,Patrick,路加福音 2:1-7｜不受欢迎的君王,20260709_路加福音2:1-7_不受欢迎的君王_Patrick_中文.txt
20260709_路加福音2:8-20_君王的宣告_Patrick,2026-07-10,路加福音 2:8-20,教会讲道,Patrick,路加福音 2:8-20｜君王的宣告,20260709_路加福音2:8-20_君王的宣告_Patrick_中文.txt
20260709_马太福音1:18-25_神与我们同在_Patrick,2026-07-10,马太福音 1:18-25,教会讲道,Patrick,马太福音 1:18-25｜神与我们同在,20260709_马太福音1:18-25_神与我们同在_Patrick_中文.txt
20260709_马太福音2:1-12_敬拜真正的君王_Patrick,2026-07-10,马太福音 2:1-12,教会讲道,Patrick,马太福音 2:1-12｜敬拜真正的君王,20260709_马太福音2:1-12_敬拜真正的君王_Patrick_中文.txt
20260709_马太福音6:1-4_施舍_Patrick,2026-07-10,马太福音 6:1-4,教会讲道,Patrick,马太福音 6:1-4｜施舍,20260709_马太福音6:1-4_施舍_Patrick_中文.txt
20260709_马太福音6:14-18_禁食_Patrick,2026-07-10,马太福音 6:14-18,教会讲道,Patrick,马太福音 6:14-18｜禁食,20260709_马太福音6:14-18_禁食_Patrick_中文.txt
20260709_马太福音6:19-24_财宝_Patrick,2026-07-10,马太福音 6:19-24,教会讲道,Patrick,马太福音 6:19-24｜财宝,20260709_马太福音6:19-24_财宝_Patrick_中文.txt
20260709_马太福音6:5-13_祷告_Patrick,2026-07-10,马太福音 6:5-13,教会讲道,Patrick,马太福音 6:5-13｜祷告,20260709_马太福音6:5-13_祷告_Patrick_中文.txt
20260709_马太福音7:1-6_论断人_Patrick,2026-07-10,马太福音 7:1-6,教会讲道,Patrick,马太福音 7:1-6｜论断人,20260709_马太福音7:1-6_论断人_Patrick_中文.txt
20260709_马太福音7:12-14_金律与窄门_Patrick,2026-07-10,马太福音 7:12-14,教会讲道,Patrick,马太福音 7:12-14｜金律与窄门,20260709_马太福音7:12-14_金律与窄门_Patrick_中文.txt
20260709_马太福音7:15-23_真正的门徒_Patrick,2026-07-10,马太福音 7:15-23,教会讲道,Patrick,马太福音 7:15-23｜真正的门徒,20260709_马太福音7:15-23_真正的门徒_Patrick_中文.txt
20260709_马太福音7:24-29_聪明人与愚拙人的根基_Patrick,2026-07-10,马太福音 7:24-29,教会讲道,Patrick,马太福音 7:24-29｜聪明人与愚拙人的根基,20260709_马太福音7:24-29_聪明人与愚拙人的根基_Patrick_中文.txt
20260710_以弗所书6:1-4_儿女与父母_Patrick,2026-07-10,以弗所书 6:1-4,教会讲道,Patrick,以弗所书 6:1-4｜儿女与父母,20260710_以弗所书6:1-4_儿女与父母_Patrick_中文.txt
20260710_加拉太书4:4-7_福音中的收纳_Patrick,2026-07-10,加拉太书 4:4-7,教会讲道,Patrick,加拉太书 4:4-7｜福音中的收纳,20260710_加拉太书4:4-7_福音中的收纳_Patrick_中文.txt
20260710_哥林多后书5:17-21_神的使命_Patrick,2026-07-10,哥林多后书 5:17-21,教会讲道,Patrick,哥林多后书 5:17-21｜神的使命,20260710_哥林多后书5:17-21_神的使命_Patrick_中文.txt
20260710_哥林多后书8:7-9_奉献的恩典_Patrick,2026-07-10,哥林多后书 8:7-9,教会讲道,Patrick,哥林多后书 8:7-9｜奉献的恩典,20260710_哥林多后书8:7-9_奉献的恩典_Patrick_中文.txt
20260710_箴言13:20_友谊_Patrick,2026-07-10,箴言 13:20,教会讲道,Patrick,箴言 13:20｜友谊,20260710_箴言13:20_友谊_Patrick_中文.txt
20260710_箴言3:5-6_信靠神的计划_Patrick,2026-07-10,箴言 3:5-6,教会讲道,Patrick,箴言 3:5-6｜信靠神的计划,20260710_箴言3:5-6_信靠神的计划_Patrick_中文.txt
20260710_约翰福音19:30-42_从十字架下来_Patrick,2026-07-10,约翰福音 19:30-42,教会讲道,Patrick,约翰福音 19:30-42｜从十字架下来,20260710_约翰福音19:30-42_从十字架下来_Patrick_中文.txt
20260710_约翰福音20:11-18_复活的盼望_Patrick,2026-07-10,约翰福音 20:11-18,教会讲道,Patrick,约翰福音 20:11-18｜复活的盼望,20260710_约翰福音20:11-18_复活的盼望_Patrick_中文.txt
20260710_约翰福音20:24-31_相信复活_Patrick,2026-07-10,约翰福音 20:24-31,教会讲道,Patrick,约翰福音 20:24-31｜相信复活,20260710_约翰福音20:24-31_相信复活_Patrick_中文.txt
20260710_约翰福音21:1-19_奔向耶稣_Patrick,2026-07-10,约翰福音 21:1-19,教会讲道,Patrick,约翰福音 21:1-19｜奔向耶稣,20260710_约翰福音21:1-19_奔向耶稣_Patrick_中文.txt
20260710_诗篇27:8_寻求神的面_Patrick,2026-07-10,诗篇 27:8,教会讲道,Patrick,诗篇 27:8｜寻求神的面,20260710_诗篇27:8_寻求神的面_Patrick_中文.txt
20260710_路加福音22:14-20_记念耶稣_Patrick,2026-07-10,路加福音 22:14-20,教会讲道,Patrick,路加福音 22:14-20｜记念耶稣,20260710_路加福音22:14-20_记念耶稣_Patrick_中文.txt
20260710_路加福音23:32-38_父啊赦免他们_Patrick,2026-07-10,路加福音 23:32-38,教会讲道,Patrick,路加福音 23:32-38｜父啊赦免他们,20260710_路加福音23:32-38_父啊赦免他们_Patrick_中文.txt
20260710_路加福音23:39-43_在十字架上_Patrick,2026-07-10,路加福音 23:39-43,教会讲道,Patrick,路加福音 23:39-43｜在十字架上,20260710_路加福音23:39-43_在十字架上_Patrick_中文.txt
20260710_路加福音24:13-35_以马忤斯路上_Patrick,2026-07-10,路加福音 24:13-35,教会讲道,Patrick,路加福音 24:13-35｜以马忤斯路上,20260710_路加福音24:13-35_以马忤斯路上_Patrick_中文.txt
20260710_路加福音24:49-53_耶稣升天_Patrick,2026-07-10,路加福音 24:49-53,教会讲道,Patrick,路加福音 24:49-53｜耶稣升天,20260710_路加福音24:49-53_耶稣升天_Patrick_中文.txt
20260710_路加福音2:10-13_天使的好消息_Patrick,2026-07-10,路加福音 2:10-13,教会讲道,Patrick,路加福音 2:10-13｜天使的好消息,20260710_路加福音2:10-13_天使的好消息_Patrick_中文.txt
20260710_马可福音15:21-26_走向十字架_Patrick,2026-07-10,马可福音 15:21-26,教会讲道,Patrick,马可福音 15:21-26｜走向十字架,20260710_马可福音15:21-26_走向十字架_Patrick_中文.txt
20260710_马太福音1:18-25_以马内利_Patrick,2026-07-10,马太福音 1:18-25,教会讲道,Patrick,马太福音 1:18-25｜以马内利,20260710_马太福音1:18-25_以马内利_Patrick_中文.txt
20260710_马太福音28:1-10_复活_Patrick,2026-07-10,马太福音 28:1-10,教会讲道,Patrick,马太福音 28:1-10｜复活,20260710_马太福音28:1-10_复活_Patrick_中文.txt
20260710_马太福音2:1-12_博士来拜_Patrick,2026-07-10,马太福音 2:1-12,教会讲道,Patrick,马太福音 2:1-12｜博士来拜,20260710_马太福音2:1-12_博士来拜_Patrick_中文.txt
20260710_马太福音2:13-15_从埃及召出我的儿子_Patrick,2026-07-10,马太福音 2:13-15,教会讲道,Patrick,马太福音 2:13-15｜从埃及召出我的儿子,20260710_马太福音2:13-15_从埃及召出我的儿子_Patrick_中文.txt
